,depth,gr,d_res,s_res,den
1380,210.3849,46.7898,0.3945,0.4283,1.3443
1381,210.5373,47.7661,0.395,0.4282,1.3395
1382,210.6897,49.0856,0.3954,0.4288,1.3517
1383,210.8421,49.6232,0.3974,0.43,1.3878
1384,210.9945,50.0438,0.398,0.4316,1.4113
1385,211.1469,52.2946,0.3978,0.4334,1.4616
1386,211.2993,53.0881,0.4014,0.4353,1.5197
1387,211.4517,56.431,0.4079,0.4377,1.6451
1388,211.6041,64.0061,0.4096,0.4408,1.7993
1389,211.7565,69.6502,0.411,0.4448,2.0053
1390,211.9089,76.3877,0.4123,0.4493,2.1325
1391,212.0613,74.3251,0.413,0.4533,1.8696
1392,212.2137,71.7963,0.4137,0.4558,1.6719
1393,212.3661,66.7977,0.4142,0.4556,1.526
1394,212.5185,69.5058,0.413,0.4531,1.5272
1395,212.6709,71.6806,0.4146,0.4497,1.5204
1396,212.8233,71.1357,0.4144,0.4468,1.5328
1397,212.9757,64.9314,0.4107,0.4455,1.5434
1398,213.1281,62.89,0.409,0.4456,1.548
1399,213.2805,59.8313,0.4091,0.4459,1.5407
1400,213.4329,57.5988,0.4089,0.4456,1.5355
1401,213.5853,54.7748,0.4078,0.4443,1.5421
1402,213.7377,54.7596,0.4075,0.4428,1.5514
1403,213.8901,55.2224,0.4064,0.4416,1.5314
1404,214.0425,55.3185,0.4059,0.441,1.4972
1405,214.1949,56.6473,0.4057,0.4408,1.4786
1406,214.3473,56.7348,0.4045,0.4407,1.5101
1407,214.4997,56.2148,0.4035,0.4406,1.5497
1408,214.65209999999996,53.7564,0.4034,0.4402,1.5937
1409,214.80449999999996,54.206,0.4032,0.4394,1.5705
1410,214.95689999999996,55.7408,0.4031,0.4382,1.5337
1411,215.10929999999996,57.6847,0.4032,0.437,1.5114
1412,215.26169999999996,56.4198,0.4031,0.4367,1.5531
1413,215.41409999999996,55.3541,0.4036,0.4374,1.6271
1414,215.56649999999996,55.8831,0.4051,0.4391,1.6979
1415,215.71889999999996,55.4345,0.4048,0.4412,1.775
1416,215.87129999999996,56.6514,0.4047,0.4429,1.8434
1417,216.02369999999996,58.0163,0.4061,0.4436,1.9348
1418,216.17609999999996,61.2615,0.4066,0.4436,2.0066
1419,216.32849999999996,61.4025,0.4067,0.4433,1.9244
1420,216.48089999999996,58.8623,0.4069,0.443,1.6577
1421,216.63329999999996,59.4666,0.4079,0.4431,1.4691
1422,216.78569999999996,60.3157,0.4088,0.4436,1.3734
1423,216.93809999999996,64.2923,0.4083,0.4442,1.3701
1424,217.09049999999996,69.355,0.409,0.4451,1.3723
1425,217.24289999999996,77.036,0.4084,0.4461,1.3743
1426,217.39529999999996,77.7982,0.4081,0.447,1.3779
1427,217.54769999999996,80.6969,0.4079,0.4469,1.3931
1428,217.70009999999996,77.6557,0.4059,0.4453,1.419
1429,217.85249999999996,77.3088,0.4016,0.4424,1.4663
1430,218.00489999999996,69.1606,0.4033,0.4391,1.5445
1431,218.15729999999996,66.8067,0.4047,0.4361,1.7122
1432,218.30969999999996,63.6722,0.402,0.434,1.8958
1433,218.46209999999996,62.5235,0.3984,0.4327,1.7358
1434,218.61449999999996,60.6795,0.3982,0.4323,1.5294
1435,218.76689999999996,60.0719,0.399,0.4329,1.3697
1436,218.91929999999996,58.7653,0.3987,0.4341,1.3666
1437,219.07169999999996,56.7421,0.4003,0.4353,1.3664
1438,219.22409999999996,57.3951,0.4001,0.4362,1.3685
1439,219.37649999999996,60.2621,0.4011,0.4367,1.3798
1440,219.52889999999996,60.1142,0.4038,0.4375,1.3857
1441,219.68129999999996,60.5887,0.4048,0.439,1.405
1442,219.83369999999996,60.6305,0.4066,0.4413,1.4676
1443,219.98609999999996,61.2073,0.4112,0.4447,1.5692
1444,220.13849999999996,63.9162,0.4131,0.4489,1.7603
1445,220.29089999999997,67.6967,0.4136,0.453,1.9856
1446,220.44329999999997,71.6488,0.4139,0.4559,2.1527
1447,220.59569999999997,71.0174,0.414,0.4566,1.9061
1448,220.74809999999997,66.356,0.4123,0.4551,1.6733
1449,220.90049999999997,64.4161,0.4096,0.4521,1.544
1450,221.05289999999997,63.2958,0.4123,0.4483,1.5305
1451,221.20529999999997,64.465,0.4106,0.4444,1.5293
1452,221.35769999999997,62.7618,0.4057,0.441,1.5387
1453,221.51009999999997,61.3807,0.4053,0.4388,1.5492
1454,221.66249999999997,61.8266,0.4049,0.4383,1.5565
1455,221.81489999999997,61.9308,0.4049,0.4393,1.5445
1456,221.96729999999997,63.0744,0.4054,0.4411,1.5518
1457,222.11969999999997,60.842,0.4071,0.4427,1.5695
1458,222.27209999999997,61.5288,0.4076,0.4441,1.5681
1459,222.42449999999997,62.8876,0.4073,0.4452,1.5551
1460,222.57689999999997,64.533,0.4087,0.4462,1.5367
1461,222.72929999999997,62.9742,0.4108,0.4473,1.5656
1462,222.88169999999997,62.0145,0.4115,0.4482,1.5766
1463,223.03409999999997,63.2314,0.4115,0.4492,1.566
1464,223.18649999999997,66.1214,0.4141,0.4507,1.5414
1465,223.33889999999997,67.772,0.4182,0.4525,1.5386
1466,223.49129999999997,66.3412,0.4176,0.4546,1.5589
1467,223.64369999999997,68.0819,0.4167,0.4572,1.5717
1468,223.79609999999997,65.7767,0.4212,0.4604,1.558
1469,223.94849999999997,67.9063,0.4265,0.464,1.5639
1470,224.10089999999997,67.642,0.4251,0.4673,1.5696
1471,224.25329999999997,69.5272,0.4271,0.4699,1.5918
1472,224.40569999999997,69.2151,0.4316,0.4716,1.5891
1473,224.55809999999997,69.6088,0.4327,0.4727,1.5955
1474,224.71049999999997,67.4999,0.4335,0.4733,1.5946
1475,224.86289999999997,66.8343,0.4348,0.4736,1.6168
1476,225.01529999999997,63.2955,0.4354,0.4741,1.627
1477,225.16769999999997,64.261,0.4358,0.4747,1.6383
1478,225.32009999999997,65.7275,0.4365,0.4755,1.6281
1479,225.47249999999997,67.9119,0.4366,0.4763,1.595
1480,225.62489999999997,68.7245,0.4367,0.4768,1.5769
1481,225.77729999999997,68.1386,0.4362,0.477,1.562
1482,225.92969999999997,66.1679,0.4351,0.4771,1.617
1483,226.08209999999997,66.4388,0.4347,0.4769,1.6784
1484,226.23449999999997,65.7614,0.4338,0.4761,1.7499
1485,226.38689999999997,69.4329,0.4328,0.4746,1.8163
1486,226.53929999999997,69.6939,0.432,0.4725,1.8969
1487,226.69169999999997,71.1162,0.4315,0.4705,2.0007
1488,226.84409999999997,71.5014,0.4311,0.469,2.0948
1489,226.99649999999997,72.4253,0.4301,0.4681,2.1783
1490,227.14889999999997,72.7678,0.4299,0.4677,1.8553
1491,227.30129999999997,71.9559,0.43,0.4679,1.6148
1492,227.45369999999997,71.0127,0.4294,0.4683,1.4343
1493,227.60609999999997,69.4759,0.4294,0.469,1.4226
1494,227.75849999999997,65.5076,0.4293,0.4695,1.4187
1495,227.91089999999997,64.6796,0.429,0.4696,1.4147
1496,228.06329999999997,64.726,0.4288,0.4692,1.4083
1497,228.21569999999997,68.4384,0.4283,0.4683,1.4109
1498,228.36809999999997,68.9519,0.4265,0.4673,1.4075
1499,228.52049999999997,68.0537,0.4255,0.4662,1.4082
1500,228.67289999999997,67.2076,0.4257,0.4648,1.406
1501,228.82529999999997,67.765,0.4238,0.4629,1.4072
1502,228.97769999999997,67.1824,0.4226,0.4606,1.4143
1503,229.13009999999997,65.6291,0.4224,0.4589,1.4129
1504,229.28249999999997,64.8764,0.4224,0.4583,1.4401
1505,229.43489999999997,65.9068,0.4223,0.4591,1.4653
1506,229.58729999999997,66.0738,0.4225,0.4608,1.5006
1507,229.73969999999997,65.0539,0.4233,0.4627,1.5288
