,depth,gr,d_res,s_res,den
996,151.8529,31.83,0.6707,0.7229,1.6264
997,152.0053,32.9941,0.6752,0.7258,1.6812
998,152.1577,35.6565,0.6849,0.7337,1.7098
999,152.3101,39.1635,0.6866,0.7438,1.6985
1000,152.4625,39.6898,0.6873,0.7517,1.6962
1001,152.6149,39.6578,0.6901,0.7555,1.7175
1002,152.7673,40.1863,0.6949,0.7558,1.7406
1003,152.9197,41.4113,0.6981,0.7545,1.7466
1004,153.0721,43.1851,0.6968,0.7544,1.7405
1005,153.2245,42.8616,0.6996,0.7576,1.7442
1006,153.3769,43.1461,0.7058,0.7638,1.7525
1007,153.5293,43.7922,0.7167,0.7722,1.7735
1008,153.6817,44.8663,0.7201,0.7833,1.772
1009,153.8341,45.9212,0.7425,0.7968,1.7619
1010,153.9865,46.815,0.7641,0.809,1.7488
1011,154.1389,49.059,0.7571,0.8156,1.7595
1012,154.2913,51.152,0.7534,0.8166,1.794
1013,154.4437,52.9473,0.7694,0.8167,1.829
1014,154.5961,52.3543,0.7725,0.8211,1.8286
1015,154.7485,50.3052,0.7736,0.8286,1.8275
1016,154.9009,47.0528,0.7724,0.8316,1.8124
1017,155.0533,45.3867,0.7616,0.8256,1.7881
1018,155.2057,44.1554,0.7582,0.8145,1.7648
1019,155.3581,42.612,0.7616,0.8045,1.7696
1020,155.5105,42.4971,0.759,0.7985,1.7811
1021,155.6629,43.4842,0.7441,0.7958,1.7756
